date,date,real,forecast,ref_forecast
2018-01-02 20:00:00,2018-01-02 20:00:00,64597.004,64444.953,65990.0
2018-01-02 21:00:00,2018-01-02 21:00:00,61416.0,62450.56,63128.0
2018-01-02 22:00:00,2018-01-02 22:00:00,57620.0,57439.68,60459.0
2018-01-02 23:00:00,2018-01-02 23:00:00,53668.996,51873.676,55908.0
2018-01-03 00:00:00,2018-01-03 00:00:00,50071.0,49381.117,51444.0
2018-01-03 01:00:00,2018-01-03 01:00:00,46873.0,44579.176,48685.0
2018-01-03 02:00:00,2018-01-03 02:00:00,44770.0,43842.746,46120.0
2018-01-03 03:00:00,2018-01-03 03:00:00,43703.0,43236.824,43828.0
2018-01-03 04:00:00,2018-01-03 04:00:00,43470.0,42194.863,42868.0
2018-01-03 05:00:00,2018-01-03 05:00:00,43706.0,43244.12,43364.0
2018-01-03 06:00:00,2018-01-03 06:00:00,45471.996,45785.453,45257.0
2018-01-03 07:00:00,2018-01-03 07:00:00,50892.004,53789.484,51135.0
2018-01-03 08:00:00,2018-01-03 08:00:00,57728.996,59834.207,60245.0
2018-01-03 09:00:00,2018-01-03 09:00:00,63524.996,62922.74,68981.0
2018-01-03 10:00:00,2018-01-03 10:00:00,66116.0,63460.668,73174.0
2018-01-03 11:00:00,2018-01-03 11:00:00,67857.0,62481.57,75124.0
2018-01-03 12:00:00,2018-01-03 12:00:00,68874.0,62246.41,76023.0
2018-01-03 13:00:00,2018-01-03 13:00:00,68519.0,61908.316,75679.0
2018-01-03 14:00:00,2018-01-03 14:00:00,68572.0,61610.688,75970.0
2018-01-03 15:00:00,2018-01-03 15:00:00,68051.0,62113.23,76025.0
2018-01-03 16:00:00,2018-01-03 16:00:00,67718.0,61968.11,76215.0
2018-01-03 17:00:00,2018-01-03 17:00:00,68865.0,62443.766,76814.0
2018-01-03 18:00:00,2018-01-03 18:00:00,71647.0,62963.48,78864.0
2018-01-03 19:00:00,2018-01-03 19:00:00,68148.0,63340.04,73035.0
2018-01-03 20:00:00,2018-01-03 20:00:00,65418.0,63434.754,68161.0
2018-01-03 21:00:00,2018-01-03 21:00:00,62213.0,62356.023,65469.0
2018-01-03 22:00:00,2018-01-03 22:00:00,58400.996,58661.746,61677.0
2018-01-03 23:00:00,2018-01-03 23:00:00,54340.0,53636.465,57348.0
2018-01-04 00:00:00,2018-01-04 00:00:00,50879.0,49755.902,52938.0
2018-01-04 01:00:00,2018-01-04 01:00:00,47598.0,45176.266,50794.0
2018-01-04 02:00:00,2018-01-04 02:00:00,45416.0,43809.91,48366.0
2018-01-04 03:00:00,2018-01-04 03:00:00,43884.0,42550.242,46876.0
2018-01-04 04:00:00,2018-01-04 04:00:00,43487.0,42159.19,46120.0
2018-01-04 05:00:00,2018-01-04 05:00:00,43657.0,42555.68,46119.0
2018-01-04 06:00:00,2018-01-04 06:00:00,45496.0,45558.58,47832.0
2018-01-04 07:00:00,2018-01-04 07:00:00,51051.0,52692.203,53430.0
2018-01-04 08:00:00,2018-01-04 08:00:00,58050.0,58333.918,62587.0
2018-01-04 09:00:00,2018-01-04 09:00:00,64039.0,61627.89,74613.0
2018-01-04 10:00:00,2018-01-04 10:00:00,66562.0,62215.11,73347.0
2018-01-04 11:00:00,2018-01-04 11:00:00,67499.0,62568.1,74624.0
2018-01-04 12:00:00,2018-01-04 12:00:00,67728.0,62174.23,74144.0
2018-01-04 13:00:00,2018-01-04 13:00:00,67125.0,62554.156,73477.0
2018-01-04 14:00:00,2018-01-04 14:00:00,67433.0,62360.383,73523.0
2018-01-04 15:00:00,2018-01-04 15:00:00,67446.0,61220.062,73779.0
2018-01-04 16:00:00,2018-01-04 16:00:00,67234.0,61063.875,74139.0
2018-01-04 17:00:00,2018-01-04 17:00:00,67986.0,61506.58,75386.0
2018-01-04 18:00:00,2018-01-04 18:00:00,70760.0,61758.598,77876.0
2018-01-04 19:00:00,2018-01-04 19:00:00,67679.0,62230.043,73974.0
2018-01-04 20:00:00,2018-01-04 20:00:00,65089.0,62515.008,71659.0
2018-01-04 21:00:00,2018-01-04 21:00:00,61906.0,62158.78,69121.0
2018-01-04 22:00:00,2018-01-04 22:00:00,58281.996,58104.887,64899.0
2018-01-04 23:00:00,2018-01-04 23:00:00,53982.0,53667.797,59862.0
2018-01-05 00:00:00,2018-01-05 00:00:00,50686.0,47748.168,55382.0
2018-01-05 01:00:00,2018-01-05 01:00:00,47411.0,45624.87,50859.0
2018-01-05 02:00:00,2018-01-05 02:00:00,45179.996,43966.543,48179.0
2018-01-05 03:00:00,2018-01-05 03:00:00,43831.0,42619.45,46576.0
2018-01-05 04:00:00,2018-01-05 04:00:00,43294.0,41305.87,46077.0
2018-01-05 05:00:00,2018-01-05 05:00:00,43386.0,41711.945,46473.0
2018-01-05 06:00:00,2018-01-05 06:00:00,45324.0,43506.34,48508.0
2018-01-05 07:00:00,2018-01-05 07:00:00,50733.0,49200.266,53878.0
2018-01-05 08:00:00,2018-01-05 08:00:00,56906.996,53259.184,61832.0
2018-01-05 09:00:00,2018-01-05 09:00:00,63006.0,57465.86,68956.0
2018-01-05 10:00:00,2018-01-05 10:00:00,65712.0,59133.145,71659.0
2018-01-05 11:00:00,2018-01-05 11:00:00,66632.0,59014.168,72691.0
2018-01-05 12:00:00,2018-01-05 12:00:00,66740.0,58478.184,72412.0
2018-01-05 13:00:00,2018-01-05 13:00:00,66192.0,57875.438,71836.0
2018-01-05 14:00:00,2018-01-05 14:00:00,66231.0,57478.4,71281.0
2018-01-05 15:00:00,2018-01-05 15:00:00,65952.0,57528.14,70803.0
2018-01-05 16:00:00,2018-01-05 16:00:00,65771.0,59526.953,70475.0
2018-01-05 17:00:00,2018-01-05 17:00:00,66711.0,61245.723,70988.0
2018-01-05 18:00:00,2018-01-05 18:00:00,69614.0,61001.27,73559.0
2018-01-05 19:00:00,2018-01-05 19:00:00,66915.0,60890.156,69681.0
2018-01-05 20:00:00,2018-01-05 20:00:00,63869.0,59252.66,66272.0
2018-01-05 21:00:00,2018-01-05 21:00:00,60601.0,57366.12,62911.0
2018-01-05 22:00:00,2018-01-05 22:00:00,56706.996,54373.2,58811.0
2018-01-05 23:00:00,2018-01-05 23:00:00,52977.0,51356.25,54460.0
2018-01-06 00:00:00,2018-01-06 00:00:00,49892.0,46522.562,50898.0
2018-01-06 01:00:00,2018-01-06 01:00:00,47067.0,45044.58,50110.0
2018-01-06 02:00:00,2018-01-06 02:00:00,44542.0,42843.234,47260.0
2018-01-06 03:00:00,2018-01-06 03:00:00,42972.004,41077.508,45316.0
2018-01-06 04:00:00,2018-01-06 04:00:00,42078.0,40164.22,44382.0
2018-01-06 05:00:00,2018-01-06 05:00:00,41858.004,41063.387,43932.0
2018-01-06 06:00:00,2018-01-06 06:00:00,42477.0,41018.996,44463.0
2018-01-06 07:00:00,2018-01-06 07:00:00,44783.0,44287.863,46202.0
2018-01-06 08:00:00,2018-01-06 08:00:00,48706.0,48951.17,49977.0
2018-01-06 09:00:00,2018-01-06 09:00:00,53001.004,51914.32,54600.0
2018-01-06 10:00:00,2018-01-06 10:00:00,56368.996,53355.44,59394.0
2018-01-06 11:00:00,2018-01-06 11:00:00,58553.0,53270.6,61989.0
2018-01-06 12:00:00,2018-01-06 12:00:00,59009.0,52597.293,61806.0
2018-01-06 13:00:00,2018-01-06 13:00:00,58659.0,51648.85,61134.0
2018-01-06 14:00:00,2018-01-06 14:00:00,57946.0,51719.4,60087.0
2018-01-06 15:00:00,2018-01-06 15:00:00,57489.0,52361.03,59116.0
2018-01-06 16:00:00,2018-01-06 16:00:00,57124.0,53485.125,59387.0
2018-01-06 17:00:00,2018-01-06 17:00:00,58731.0,54955.42,60847.0
2018-01-06 18:00:00,2018-01-06 18:00:00,62735.0,55934.438,63887.0
2018-01-06 19:00:00,2018-01-06 19:00:00,61090.004,56968.37,60887.0
2018-01-06 20:00:00,2018-01-06 20:00:00,58911.996,57408.777,58268.0
2018-01-06 21:00:00,2018-01-06 21:00:00,56251.0,55385.324,55474.0
2018-01-06 22:00:00,2018-01-06 22:00:00,53129.0,52063.145,52362.0
